Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1979.02,,3.18258709444726E-13,
1979.03,,3.33437367880068E-13,
1979.04,,3.43621872078818E-13,
1979.05,,3.53556688183893E-13,
1979.06,,3.67348862555355E-13,
1979.07,,3.86061044993233E-13,
1979.08,,4.12159373736663E-13,
1979.09,,4.3880357160179E-13,
1979.10,,4.62532544313871E-13,
1979.11,,4.92271791378893E-13,
1979.12,,5.25593332450189E-13,
1980.01,,5.52995757758359E-13,
1980.02,,5.82736291059181E-13,
1980.03,,6.18561958322105E-13,
1980.04,,6.56030557344824E-13,
1980.05,,6.96227026064802E-13,
1980.06,,7.45989344445994E-13,
1980.07,,8.0327390466985E-13,
1980.08,,8.52239954471217E-13,
1980.09,,9.07272094132295E-13,
1980.10,,9.76210956878281E-13,
1980.11,,1.04179949491391E-12,
1980.12,,1.10667987237921E-12,
1981.01,,1.18987082833807E-12,
1981.02,,1.28413218200065E-12,
1981.03,,1.36649693364766E-12,
1981.04,,1.4461722620226E-12,
1981.05,,1.52319825850716E-12,
1981.06,,1.59588102738086E-12,
1981.07,,1.69005437283266E-12,
1981.08,,1.7897327408921E-12,
1981.09,,1.87405766214059E-12,
1981.10,,1.96458576342792E-12,
1981.11,,2.05399080396487E-12,
1981.12,,2.15738501272876E-12,
1982.01,,2.29906350536545E-12,
1982.02,,2.46088625964973E-12,
1982.03,,2.61566937054113E-12,
1982.04,,2.76577751798811E-12,
1982.05,,2.9608162618851E-12,
1982.06,,3.16868758930641E-12,
1982.07,,3.35657265497541E-12,
1982.08,,3.51514604592641E-12,
1982.09,,3.66340513898887E-12,
1982.10,,3.84258694793316E-12,
1982.11,,4.05665640904647E-12,
1982.12,,4.36432914380487E-12,
1983.01,,4.70364278977317E-12,
1983.02,,5.09349218420987E-12,
1983.03,,5.58454614880703E-12,
1983.04,,6.0195298653676E-12,
1983.05,,6.58889442384347E-12,
1983.06,,7.44245977024576E-12,
1983.07,,8.31304435922579E-12,
1983.08,,9.26440799807799E-12,
1983.09,,1.04713556435573E-11,
1983.10,,1.16046633384256E-11,
1983.11,,1.25325393399264E-11,
1983.12,,1.36204140416446E-11,
1984.01,,1.51226781210866E-11,
1984.02,,1.68011781629987E-11,
1984.03,,1.83879789531338E-11,
1984.04,,2.00245230105143E-11,
1984.05,,2.1837653041155E-11,
1984.06,,2.39740093266849E-11,
1984.07,,2.64842123370251E-11,
1984.08,,2.92824417230741E-11,
1984.09,,3.26614686894527E-11,
1984.10,,3.63258791449835E-11,
1984.11,,4.00323608691181E-11,
1984.12,,4.46677777552424E-11,
1985.01,,4.97564448672061E-11,
1985.02,,5.5442516379918E-11,
1985.03,,6.09468562381945E-11,
1985.04,,6.55173029331742E-11,
1985.05,,7.06364091014182E-11,
1985.06,,7.65547988295171E-11,
1985.07,,8.53036514747032E-11,
1985.08,,9.5146895720457E-11,
1985.09,,1.0379561529307E-10,
1985.10,,1.16209325108724E-10,
1985.11,,1.32561234189281E-10,
1985.12,,1.53069025361219E-10,
1986.01,,1.78134071931483E-10,
1986.02,,1.96214280278218E-10,
1986.03,,2.00972665116535E-10,
1986.04,,2.00707210992931E-10,
1986.05,,2.01558362453472E-10,
1986.06,,2.0272812041671E-10,
1986.07,,2.0471811158203E-10,
1986.08,,2.0719971793488E-10,
1986.09,,2.09767658769983E-10,
1986.10,,2.13794170584579E-10,
