Data,PIB - IPCA- 2020.12=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2015.06,13.3481295387466,0.77659661684044,
2015.07,13.3755491505988,0.779856231431938,
2015.08,13.3521158875962,0.782818371745161,
2015.09,13.35242002259,0.788140156689201,
2015.10,13.3883014034803,0.795350828361072,
2015.11,13.3687985845177,0.803184614721131,
2015.12,13.3733515095779,0.812138487731361,
2016.01,13.3000351931765,0.820948336406165,
2016.02,13.2948935235035,0.826405018813973,
2016.03,13.3412549023548,0.830702108463603,
2016.04,13.316910814963,0.836475084932812,
2016.05,13.3214800044923,0.841198537495553,
2016.06,13.3613332984342,0.844857485275361,
2016.07,13.3499772888787,0.848913037931868,
2016.08,13.3507801790391,0.851118862753196,
2016.09,13.3016217664723,0.852565889921103,
2016.10,13.328769681266,0.854442317630403,
2016.11,13.3570643121595,0.856492880152395,
2016.12,13.3974767950922,0.859404714105196,
2017.01,13.3221008549832,0.862455811021457,
2017.02,13.2952889964445,0.864956516128679,
2017.03,13.3504081082757,0.866642642715167,
2017.04,13.3124882619954,0.86859240799882,
2017.05,13.3561339940433,0.868936830781722,
2017.06,13.3703764808997,0.868978093182803,
2017.07,13.3694325862714,0.87084629755422,
2017.08,13.36430772793,0.872369526657255,
2017.09,13.3121474585599,0.874898625746619,
2017.10,13.3465614675556,0.877961187489365,
2017.11,13.3732782563685,0.881122003595077,
2017.12,13.4089150775384,0.884338266731135,
2018.01,13.347754046861,0.887035844421067,
2018.02,13.2963877149122,0.888853668862517,
2018.03,13.3521820422191,0.890230850755976,
2018.04,13.3477278047061,0.892990255509684,
2018.05,13.3171568698716,0.90039418844181,
2018.06,13.3690000692439,0.907543022346895,
2018.07,13.3718528645077,0.908630818993362,
2018.08,13.3693970574462,0.910399282793774,
2018.09,13.319152666002,0.914632160657452,
2018.10,13.3792747606071,0.915724207592734,
2018.11,13.3828534034054,0.915447853013042,
2018.12,13.3959249527716,0.917598699537887,
2019.01,13.3503646435437,0.921039129885117,
2019.02,13.32622123086,0.926471659720594,
2019.03,13.3391500612663,0.932585680639792,
2019.04,13.3591108410136,0.935847422743755,
2019.05,13.3779378941111,0.936502307292239,
2019.06,13.3664232178932,0.937438566118872,
2019.07,13.4118857376612,0.938845213852006,
2019.08,13.3940125372288,0.939174028312609,
2019.09,13.3905105645099,0.939455921563848,
2019.10,13.4307259468199,0.942319608872558,
2019.11,13.4122313296224,0.950136444406795,
2019.12,13.4242851220531,0.956586970396257,
2020.01,13.3800308159802,0.95878700435279,
2020.02,13.360580296686,0.960320687184229,
2020.03,13.3698571949738,0.959166476780564,
2020.04,13.2501344832254,0.955857435268714,
2020.05,13.2833018752091,0.955279110979885,
2020.06,13.3550638616972,0.958240182640041,
2020.07,13.3936371418659,0.961114841372973,
2020.08,13.3888911108186,0.965342295011416,
2020.09,13.3833838491543,0.972582070963335,
2020.10,13.4096545291105,0.981092304380108,
2020.11,13.39615186372,0.992078214747451,
2020.12,13.3998397989115,1,
