Data,PIB - IPCA- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2019.10,745421.805496894,0.860372067560442,
2019.11,731780.431390328,0.867509122639257,
2019.12,740032.140313698,0.873398687421896,
2020.01,705668.242139143,0.875407398421925,
2020.02,695489.781168017,0.87680770661486,
2020.03,703776.849556056,0.875753870546873,
2020.04,636377.514689259,0.872732595323067,
2020.05,643918.207998992,0.872204564218316,
2020.06,676113.616394525,0.874908130314635,
2020.07,717581.04226316,0.877532798266246,
2020.08,709259.741721514,0.881392617156967,
2020.09,715385.022396257,0.888002795854066,
2020.10,738076.541797038,0.895772948412995,
2020.11,734349.902284567,0.90580348404845,
2020.12,750286.328654222,0.91303636203627,
2021.01,712802.402216666,0.918099318920476,
2021.02,731140.31179863,0.926316315857212,
2021.03,787790.39057426,0.932055034924656,
2021.04,763217.590824596,0.937364794261428,
2021.05,753550.426576114,0.94373816923076,
2021.06,751009.974350915,0.950766733314199,
2021.07,775249.922260465,0.959465945938003,
2021.08,762422.092252521,0.969203289764137,
2021.09,746692.186218038,0.980881698668439,
2021.10,750322.464469299,0.991670428695322,
2021.11,749729.4,1,
2021.12,,,
