date,ipca,ipa,igp,capacidade,desemprego,comm,cambio,pimpf,ipcaindice,petro,gfc_dummy,pib,pib_hiato_real,pib_hiato_nom,pib_dessaz,pib_ipca,taxa_juros
2005-08-01,0.00271636765569224,-0.009160600093008675,-0.006915332063800683,81.7,0.105287981648459,103.80457349774,2.3598,89.5817221393797,2485.09,61.8856521739131,0,78461,-0.020884279937936512,0.012989820447590006,76149.6141172066,446047.468820142,0.08613652449385872
2005-09-01,0.00457131758125897,0.0056735478781417825,0.0048082844650849665,81,0.110838698315911,107.687228319452,2.2936,88.562232840621,2493.79,61.7186363636364,0,79783,-0.0263953911915511,0.023687003902129078,78222.8460197096,445777.285368233,0.08607032121231041
2005-10-01,0.00724662532885479,0.0032614077168142686,0.003477926352392302,81.4,0.110258848490784,107.178505587613,2.2557,88.7760602855461,2512.49,58.1852380952381,0,84899,-0.023524712297772865,0.0364419727035834,80526.5220306642,449278.732830079,0.08388088468135081
2005-11-01,0.00495557580427441,-0.0016428289923444694,6.08350287450321e-4,81.8,0.111448365897362,101.196128312772,2.21,89.6962906625946,2526.31,55.0678787878788,0,88279,-0.020314488797813723,0.0666432105424235,84364.8555445922,452982.8480754,0.08136964659815513
2005-12-01,0.00218166866411179,0.010242990336892355,0.008341342157037523,81.7,0.106363411992798,106.182001974206,2.2847,92.0158497198729,2535.4,56.3795454545455,0,84031,-0.003116795150969409,0.05920376217226497,85127.9841100975,463172.104178927,0.07648391271869487
2006-01-01,0.00413885631432747,8.5197023257777e-4,0.0016622784606337149,81.3,0.106087905419868,107.905760485708,2.2731,91.3501348479899,2550.36,62.2560606060606,0,79578,-0.017395148537353577,0.05017881392505785,85767.9101776052,458936.629709876,0.07193778234575009
2006-02-01,0.00327203647728368,-0.0011636531496828084,-2.909175560166233e-4,81.7,0.108282100491275,106.110057822923,2.1611,91.6318917992892,2560.82,59.6761666666667,0,81623,-0.02886244031553531,0.07233821364109083,89155.0347975785,456040.002124455,0.06956635321626382
2006-03-01,0.00403081565568236,-0.011029823994540777,-0.006489046453442171,81.4,0.106516992662482,106.826432285565,2.1512,91.0549405589975,2571.83,60.9295652173913,0,90690,-0.04247059362618444,0.06494857924906228,89981.7700337554,452211.821843237,0.06545265787143367
2006-04-01,0.00176916464710045,0.0036194608177355647,0.00358687886482123,81,0.105697517638727,115.698565260193,2.1285,91.1596466102574,2577.23,67.9966666666667,0,88452,-0.046155236948997924,0.046261523025636464,89799.2601465608,452906.468178597,0.061379571112000875
2006-05-01,0.00168820906469557,0.007660782764122409,0.005705995994992108,82.1,0.103121821654564,119.892187500183,2.1773,92.3011059092395,2579.81,68.7088405797101,0,91180,-0.024308458850740067,0.03412305442009611,90208.3013882277,465350.838678854,0.0577765229567236
2006-06-01,1.23224077833821e-4,0.006041640506372126,0.0038717367053608953,81.9,0.107436317550322,117.227587602056,2.2475,90.2619522588694,2574.39,68.2901515151515,0,86562,-0.028052291699822263,-0.024991398222198313,86462.1395407439,466074.156399653,0.05384517730633323
2006-07-01,0.00231296270820041,0.003116729087730974,0.0026497269083094466,81.6,0.110018606448986,121.713228044239,2.1885,91.8341943045623,2579.28,72.4353968253968,0,92961,-0.003238532575400299,0.01417230707733097,91430.2608969899,480338.603617148,0.053187598009571
2006-08-01,0.00161861554321355,0.004453329772814207,0.0036197415932637256,81.8,0.107489501345585,122.41103477327,2.1551,91.5484383319693,2580.57,71.811884057971,0,96874,-0.005641386812873961,0.02552173914421907,94031.3895219691,481764.232839675,0.051279764274536246
2006-09-01,0.00316683678670479,0.0026347295488351463,0.002108824703330292,82.1,0.102199604152864,112.612866588131,2.1679,90.5337979717468,2585.99,62.2068253968254,0,94804,-0.011191092244461132,0.008954354304036016,94042.8567504414,481691.123684871,0.04769482760354182
2006-10-01,0.00309630751363003,0.01439663719633355,0.010177239865231336,81.9,0.102060558528246,110.802485185764,2.1475,91.2368827133862,2594.52,57.8859090909091,0,101964,-0.0015223610825909617,0.013646249524141396,96073.0298884572,489017.902313084,0.04677780538754203
2006-11-01,0.00267002134855752,0.005577302401305495,0.004726776172897296,82,0.102260656977306,113.440785192779,2.1571,93.0203116632974,2602.56,58.1224242424242,0,102373,0.007098227550319081,0.017637769121073177,98075.0823922522,495949.484676235,0.04504435642540004
2006-12-01,0.00350142296980358,0.0025349076325662523,0.003877918226716126,82.2,0.0995977891723856,115.550687042573,2.1491,94.4570389111437,2615.05,60.9785714285714,0,100070,0.020515952916689173,0.042904377873982824,102267.352369574,505410.543589387,0.04166446805729912
2007-01-01,0.00273542678031151,0.0016232730688221508,0.0027779941323125,82.2,0.10026548276849,110.949546749002,2.1377,93.6435805020987,2626.56,53.8492753623189,0,96484,0.00852628438622638,0.03331510596988174,102980.4873487,502142.179470313,0.04235172140973739
2007-02-01,0.00345805902639698,0.004069623139025147,0.003813122642078781,82.3,0.101135500980893,116.775265705671,2.0955,94.3027425755515,2638.12,57.5653333333333,0,95918,0.0041133876214694,0.03240215054737661,104595.787815683,502699.658485961,0.04156680531393055
2007-03-01,0.0034566559182927,3.3626632609617957e-4,0.0017644517887864808,82.8,0.100440592093843,119.501740282007,2.0879,95.1578887178317,2647.88,60.5998484848485,0,106527,0.006466030178540194,0.034178668798197975,106514.987966556,506683.489739913,0.04083859818063697
2007-04-01,0.00214433130571833,-5.603653583641233e-5,8.782728424066022e-4,82.4,0.101528113554126,126.339752899399,2.0312,95.8988837363504,2654.5,65.1092063492063,0,107311,2.0827760901909187e-4,0.03151020734309462,107979.708062756,506328.794335893,0.0404717827329759
2007-05-01,0.00312936153074929,-9.683996679328288e-4,0.0015066010622302173,82.8,0.102764307499888,126.74981285228,1.9808,96.3187431305693,2661.93,65.176231884058,0,114272,0.011559582095850729,0.06101201735691575,113033.306279271,514970.444331979,0.04015867308879861
2007-06-01,0.00456877906913253,9.913240848584692e-4,0.002170967989337136,82.5,0.101261241652389,127.192978188255,1.9311,96.7446160645585,2669.38,68.1884126984127,0,115393,0.018523992888338725,0.0716209851593117,116097.633381008,521473.448720279,0.03732129519508555
2007-07-01,0.00306223470057964,0.0082693525264261325,0.006396483411801768,82.6,0.0998402024379736,129.715401506189,1.882,96.4353498805772,2675.79,73.5606060606061,0,121838,0.004983074335786597,0.07665698617259231,118569.794845214,517346.275086523,0.03542201388831462
2007-08-01,0.0058899220159762,0.02037906769694864,0.014612034578938449,83.2,0.101588058476551,125.448813204441,1.9652,97.6457056051649,2688.37,70.1269565217391,0,118077,0.0010678770852301511,0.026626870062301577,114593.625317874,518220.549834567,0.03359517805950751
2007-09-01,0.00290093879443175,0.014376043170584829,0.010607409902188003,82.7,0.0981591689413102,131.784739890582,1.8988,97.2554887134555,2693.21,76.6651666666667,0,118496,-0.005031185851636977,0.04752984672832561,118877.591808394,517967.471611436,0.03260511731203608
